Article Page Name;Page #;Overall Ranking;Sector;Link to Writeup, References, and Errata;Tech Assessment;Total Atmospheric CO2-EQ Reduction (GT);NET COST (BILLIONS US $);SAVINGS (BILLIONS US $)
_page_name;_page;_rank;_sector;_link;_link_assessment;_gt;_cost;_savings
Refrigerant Management;164;1;Materials;http://www.drawdown.org/solutions/materials/refrigerant-management;http://www.drawdown.org/sites/default/files/tech_references/References%20REFRIGERANT%20MANAGEMENT.pdf;89.74;N/A;($902.77)
Wind Turbines (Onshore);2;2;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/wind-turbines-onshore;http://www.drawdown.org/sites/default/files/tech_references/References%20WIND%20TURBINES_0.pdf;84.6;$1,225.37 ;$7,425.00 
Reduced Food Waste;42;3;Food;http://www.drawdown.org/solutions/food/reduced-food-waste;http://www.drawdown.org/sites/default/files/tech_references/References%20REDUCED%20FOOD%20WASTE.pdf;70.53;N/A;N/A
Plant Rich Diet;39;4;Food;http://www.drawdown.org/solutions/food/plant-rich-diet;http://www.drawdown.org/sites/default/files/tech_references/References%20PLANT%20RICH%20DIET.pdf;66.11;N/A;N/A
Tropical Forests;114;5;Land Use;http://www.drawdown.org/solutions/land-use/tropical-forests;http://www.drawdown.org/sites/default/files/tech_references/References%20TROPICAL%20FORESTS.pdf;61.23;N/A;N/A
Educating Girls;80;6;Women and Girls;http://www.drawdown.org/solutions/women-and-girls/educating-girls;http://www.drawdown.org/sites/default/files/tech_references/References%20EDUCATING%20GIRLS_0.pdf;59.6;N/A;N/A
Family Planning;78;7;Women and Girls;http://www.drawdown.org/solutions/women-and-girls/family-planning;http://www.drawdown.org/sites/default/files/tech_references/References%20FAMILY%20PLANNING.pdf;59.6;N/A;N/A
Solar Farms;8;8;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/solar-farms;http://www.drawdown.org/sites/default/files/tech_references/References%20SOLAR%20FARMS.pdf;36.9;($80.60);$5,023.84 
Silvopasture;50;9;Food;http://www.drawdown.org/solutions/food/silvopasture;http://www.drawdown.org/sites/default/files/tech_references/References%20SILVOPASTURE_0.pdf;31.19;$41.59 ;$699.37 
Rooftop Solar;10;10;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/rooftop-solar;http://www.drawdown.org/sites/default/files/tech_references/References%20ROOFTOP%20SOLAR.pdf;24.6;$453.14 ;$3,457.63 
Regenerative Agriculture;54;11;Food;http://www.drawdown.org/solutions/food/regenerative-agriculture;http://www.drawdown.org/sites/default/files/tech_references/References%20REGENERATIVE%20AGRICULTURE.pdf;23.15;$57.22 ;$1,928.10 
Temperate Forests;128;12;Land Use;http://www.drawdown.org/solutions/land-use/temperate-forests;http://www.drawdown.org/sites/default/files/tech_references/References%20TEMPERATE%20FORESTS.pdf;22.61;N/A;N/A
Peatlands;123;13;Land Use;http://www.drawdown.org/solutions/land-use/afforestation;http://www.drawdown.org/sites/default/files/tech_references/References%20AFFORESTATION.pdf;21.57;N/A;N/A
Tropical Staple Trees;66;14;Food;http://www.drawdown.org/solutions/food/tropical-staple-trees;http://www.drawdown.org/sites/default/files/tech_references/References%20TROPICAL%20STAPLE%20TREES.pdf;20.19;$120.07 ;$626.97 
Afforestation;132;15;Land Use;http://www.drawdown.org/solutions/land-use/afforestation;http://www.drawdown.org/sites/default/files/tech_references/References%20AFFORESTATION.pdf;18.06;$29.44 ;$392.33 
Conservation Agriculture;60;16;Food;http://www.drawdown.org/solutions/food/conservation-agriculture;http://www.drawdown.org/sites/default/files/tech_references/References%20CONSERVATION%20AGRICULTURE.pdf;17.35;$37.53 ;$2,119.07 
Tree Intercropping;58;17;Food;http://www.drawdown.org/solutions/food/tree-intercropping;http://www.drawdown.org/sites/default/files/tech_references/References%20TREE%20INTERCROPPING_0.pdf;17.2;$146.99 ;$22.10 
Geothermal;6;18;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/geothermal;http://www.drawdown.org/sites/default/files/tech_references/References%20GEOTHERMAL.pdf;16.6;($155.48);$1,024.34 
Managed Grazing;72;19;Food;http://www.drawdown.org/solutions/food/managed-grazing;http://www.drawdown.org/sites/default/files/tech_references/References%20MANAGED%20GRAZING.pdf;16.34;$50.48 ;$735.27 
Nuclear;18;20;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/nuclear;http://www.drawdown.org/sites/default/files/tech_references/References%20NUCLEAR.pdf;16.09;$0.88 ;$1,713.40 
Clean Cookstoves;44;21;Food;http://www.drawdown.org/solutions/food/clean-cookstoves;http://www.drawdown.org/sites/default/files/tech_references/References%20CLEAN%20COOKSTOVES.pdf;15.81;$72.16 ;$166.28 
