Page #;Overall Ranking;Solution;Sector;Link to Writeup, References, and Errata;Tech Assessment;Total Atmospheric CO2-EQ Reduction (GT);NET COST (BILLIONS US $);SAVINGS (BILLIONS US $);Article Page Name
_page;_rank;_solution;_sector;_link;_link_assessment;_gt;_cost;_savings;_page_name
164;1;Refrigerant Management;Materials;http://www.drawdown.org/solutions/materials/refrigerant-management;http://www.drawdown.org/sites/default/files/tech_references/References%20REFRIGERANT%20MANAGEMENT.pdf;89.74;N/A;($902.77);Refrigerant Management
2;2;Wind Turbines (Onshore);Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/wind-turbines-onshore;http://www.drawdown.org/sites/default/files/tech_references/References%20WIND%20TURBINES_0.pdf;84.6;$1,225.37 ;$7,425.00 ;Wind Turbines (Onshore)
42;3;Reduced Food Waste;Food;http://www.drawdown.org/solutions/food/reduced-food-waste;http://www.drawdown.org/sites/default/files/tech_references/References%20REDUCED%20FOOD%20WASTE.pdf;70.53;N/A;N/A;Reduced Food Waste
39;4;Plant-Rich Diet;Food;http://www.drawdown.org/solutions/food/plant-rich-diet;http://www.drawdown.org/sites/default/files/tech_references/References%20PLANT%20RICH%20DIET.pdf;66.11;N/A;N/A;Plant Rich Diet
114;5;Tropical Forests;Land Use;http://www.drawdown.org/solutions/land-use/tropical-forests;http://www.drawdown.org/sites/default/files/tech_references/References%20TROPICAL%20FORESTS.pdf;61.23;N/A;N/A;Tropical Forests
80;6;Educating Girls;Women and Girls;http://www.drawdown.org/solutions/women-and-girls/educating-girls;http://www.drawdown.org/sites/default/files/tech_references/References%20EDUCATING%20GIRLS_0.pdf;59.6;N/A;N/A;Educating Girls
78;7;Family Planning;Women and Girls;http://www.drawdown.org/solutions/women-and-girls/family-planning;http://www.drawdown.org/sites/default/files/tech_references/References%20FAMILY%20PLANNING.pdf;59.6;N/A;N/A;Family Planning
8;8;Solar Farms;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/solar-farms;http://www.drawdown.org/sites/default/files/tech_references/References%20SOLAR%20FARMS.pdf;36.9;($80.60);$5,023.84 ;Solar Farms
50;9;Silvopasture;Food;http://www.drawdown.org/solutions/food/silvopasture;http://www.drawdown.org/sites/default/files/tech_references/References%20SILVOPASTURE_0.pdf;31.19;$41.59 ;$699.37 ;Silvopasture
10;10;Rooftop Solar;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/rooftop-solar;http://www.drawdown.org/sites/default/files/tech_references/References%20ROOFTOP%20SOLAR.pdf;24.6;$453.14 ;$3,457.63 ;Rooftop Solar
54;11;Regenerative Agriculture;Food;http://www.drawdown.org/solutions/food/regenerative-agriculture;http://www.drawdown.org/sites/default/files/tech_references/References%20REGENERATIVE%20AGRICULTURE.pdf;23.15;$57.22 ;$1,928.10 ;Regenerative Agriculture
128;12;Temperate Forests;Land Use;http://www.drawdown.org/solutions/land-use/temperate-forests;http://www.drawdown.org/sites/default/files/tech_references/References%20TEMPERATE%20FORESTS.pdf;22.61;N/A;N/A;Temperate Forests
123;13;Peatlands;Land Use;http://www.drawdown.org/solutions/land-use/afforestation;http://www.drawdown.org/sites/default/files/tech_references/References%20AFFORESTATION.pdf;21.57;N/A;N/A;Peatlands
66;14;Tropical Staple Trees;Food;http://www.drawdown.org/solutions/food/tropical-staple-trees;http://www.drawdown.org/sites/default/files/tech_references/References%20TROPICAL%20STAPLE%20TREES.pdf;20.19;$120.07 ;$626.97 ;Tropical Staple Trees
132;15;Afforestation;Land Use;http://www.drawdown.org/solutions/land-use/afforestation;http://www.drawdown.org/sites/default/files/tech_references/References%20AFFORESTATION.pdf;18.06;$29.44 ;$392.33 ;Afforestation
60;16;Conservation Agriculture;Food;http://www.drawdown.org/solutions/food/conservation-agriculture;http://www.drawdown.org/sites/default/files/tech_references/References%20CONSERVATION%20AGRICULTURE.pdf;17.35;$37.53 ;$2,119.07 ;Conservation Agriculture
58;17;Tree Intercropping;Food;http://www.drawdown.org/solutions/food/tree-intercropping;http://www.drawdown.org/sites/default/files/tech_references/References%20TREE%20INTERCROPPING_0.pdf;17.2;$146.99 ;$22.10 ;Tree Intercropping
6;18;Geothermal;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/geothermal;http://www.drawdown.org/sites/default/files/tech_references/References%20GEOTHERMAL.pdf;16.6;($155.48);$1,024.34 ;Geothermal
72;19;Managed Grazing;Food;http://www.drawdown.org/solutions/food/managed-grazing;http://www.drawdown.org/sites/default/files/tech_references/References%20MANAGED%20GRAZING.pdf;16.34;$50.48 ;$735.27 ;Managed Grazing
18;20;Nuclear;Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/nuclear;http://www.drawdown.org/sites/default/files/tech_references/References%20NUCLEAR.pdf;16.09;$0.88 ;$1,713.40 ;Nuclear
44;21;Clean Cookstoves;Food;http://www.drawdown.org/solutions/food/clean-cookstoves;http://www.drawdown.org/sites/default/files/tech_references/References%20CLEAN%20COOKSTOVES.pdf;15.81;$72.16 ;$166.28 ;Clean Cookstoves
2;22;Wind Turbines (Offshore);Electricity Generation;http://www.drawdown.org/solutions/electricity-generation/wind-turbines-offshore;http://www.drawdown.org/sites/default/files/tech_references/References%20WIND%20TURBINES.pdf;15.15;$545.30 ;$762.50 ;Wind Turbines (Offshore)
